expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
雰囲気,ふんいき,"atmosphere (e.g., musical), mood, ambiance",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,u~WAeLx^(1,"บรรยากาศ (เช่น ด้านดนตรี), อารมณ์, บรรยากาศโดยรอบ, สภาพแวดล้อม",いい雰囲気の店ですね。,เป็นร้านที่มีบรรยากาศดีนะ
分析,ぶんせき,analysis,JLPT JLPT_2 JLPT_3,BW:70ufQAS,"การวิเคราะห์, การแยกแยะ, การตรวจสอบ, การศึกษา",データを分析します。,ฉันจะวิเคราะห์ข้อมูล
文明,ぶんめい,civilization,JLPT JLPT_2 JLPT_3,sa[`h{Q=[9,"อารยธรรม, ความเจริญ, วัฒนธรรม, ความศิวิไลซ์",日本の文明に興味があります。,ฉันสนใจอารยธรรมญี่ปุ่น
分野,ぶんや,"field, sphere",JLPT JLPT_2 JLPT_3,H9@l-COvuo,"สนาม, ทรงกลม, ขอบเขต, แขนง",これは新しい分野です。,นี่เป็นสาขาใหม่
塀,へい,"wall, fence",JLPT JLPT_2 JLPT_3,b`Q#tC3%LL,"กำแพง, รั้ว, ผนัง, เครื่องกั้น",塀を乗り越えた。,ปีนข้ามกำแพงไป
平均,へいきん,"equilibrium, balance, average",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,"Ipp8-,$Ihp","สมดุล, ความสมดุล, ค่าเฉลี่ย, ค่ากลาง",平均点は何点ですか。,คะแนนเฉลี่ยกี่คะแนน
平和,へいわ,peace,JLPT JLPT_2 JLPT_3,pDR:k1Uvab,"ความสงบ, ความสงบสุข, สันติภาพ, ความเงียบสงบ",平和を祈ります。,ฉันภาวนาขอให้เกิดสันติภาพ
別に,べつに,"(not) particularly, nothing",JLPT JLPT_2 JLPT_3,N>j!Oh:%5^,"ไม่โดยเฉพาะ ไม่มีอะไรเลย, ไม่เป็นพิเศษ, ไม่เฉพาะเจาะจง, ไม่ได้มีอะไร",別に何もありません。,ไม่มีอะไรเป็นพิเศษ
減らす,へらす,"to decrease, to diminish",JLPT JLPT_2 JLPT_3,L|9vM+.g[_,"ลดลง, ทำให้น้อยลง, ตัดทอน, หักออก",ゴミを減らしてください。,กรุณาลดขยะ
減る,へる,"to decrease (in size or number), to diminish",JLPT JLPT_2 JLPT_3,M^Mg^hFF~i,"ลดลง (ในขนาดหรือจำนวน) น้อยลง, ลดจำนวน, ลดลงไป, น้อยลงเรื่อยๆ",人口が減った。,ประชากรลดลง
ベルト,ベルト,Belt for western clothes,JLPT JLPT_2 JLPT_3,GTcb.}|Giw,"เข็มขัดสำหรับชุดสไตล์ตะวันตก, สายรัดเอว, เข็มขัดรัด, เข็มขัดแฟชั่น",ベルトを締めてください。,กรุณารัดเข็มขัด
変化,へんか,"change, variation, shift",JLPT JLPT_2 JLPT_3,j9UWX/@2ih,"การเปลี่ยนแปลง, ความแปรผัน, การเลื่อน, การปรับเปลี่ยน",季節の変化を感じます。,ฉันรู้สึกถึงการเปลี่ยนแปลงของฤดูกาล
ペンキ,ペンキ,paint,JLPT JLPT_2 JLPT_3,DLO8LLG3|x,"สี, ทาสี, น้ำมันทา, สีทาบ้าน",壁にペンキを塗ります。,ฉันจะทาสีบนผนัง
変更,へんこう,"change, modification, alteration",JLPT JLPT_2 JLPT_3,bB&QqdWqmy,"การเปลี่ยนแปลง การแก้ไข การดัดแปลง, การปรับแก้, การปรับปรุง, การปรับเปลี่ยน",予定を変更しました。,ฉันเปลี่ยนแผน
ベンチ,ベンチ,bench,JLPT JLPT_2 JLPT_3,"l,WHbG]2JH","ม้านั่ง, ที่นั่งยาว, เก้าอี้ยาว, เก้าอี้สนาม",ベンチに座りました。,ฉันนั่งบนม้านั่ง
弁当,べんとう,box lunch,JLPT JLPT_2 JLPT_3,zNBqv(&}s^,"กล่องอาหารกลางวัน, ข้าวกล่อง, อาหารกล่อง, เบ็นโตะ",お弁当を買いました。,ฉันซื้อข้าวกล่อง
方,ほう,side,JLPT JLPT_2 JLPT_3,gma?L!#ps{,"ด้านข้าง, ข้าง, ฝั่ง, ทาง",北の方へ行きます。,ฉันจะไปทางเหนือ
法,ほう,Act (law: the X Act),JLPT JLPT_2 JLPT_3,okCQ@hxlIS,"พระราชบัญญัติ (กฎหมาย: พระราชบัญญัติที่ 10), กฎหมาย, พ.ร.บ., บทบัญญัติ",法律を守りましょう。,เรามาปฏิบัติตามกฎหมายกันเถอะ
棒,ぼう,"pole, rod, stick",JLPT JLPT_2 JLPT_3,funENr~TQC,"เสา, ไม้, แท่ง, ไม้เท้า",棒で叩かないでください。,อย่าตีด้วยไม้
冒険,ぼうけん,"risk, venture, adventure",JLPT JLPT_2 JLPT_3,Fyl;77x&X*,"ความเสี่ยง การเสี่ยงภัย การผจญภัย, อันตราย, การลองเสี่ยง, ภัยอันตราย",冒険に興味があります。,ฉันสนใจการผจญภัย
方向,ほうこう,"direction, course, way",JLPT JLPT_2 JLPT_3,QgNti^#[oD,"ทิศทาง เส้นทาง, ทาง, แนวทาง, จุดหมาย",どちらの方向ですか。,ไปทางไหนคะ
報告,ほうこく,"report, information",JLPT JLPT_2 JLPT_3,y4Y?|#~uOX,"รายงาน ข้อมูล, การแจ้ง, การบรรยาย, สารสนเทศ",先生に報告します。,ฉันจะรายงานให้ครูทราบ
宝石,ほうせき,"gem, jewel",JLPT JLPT_2 JLPT_3,Dj6XgRBu}x,"อัญมณี, เครื่องประดับ, เพชรพลอย, มณี",きれいな宝石ですね。,เป็นอัญมณีที่สวยงามนะ
包装,ほうそう,"packing, wrapping",JLPT JLPT_2 JLPT_3,Otsl}ZzWXb,"การบรรจุห่อ, หีบห่อ, การห่อ, การหุ้มห่อ",プレゼントを包装しました。,ฉันห่อของขวัญแล้ว
豊富,ほうふ,"abundance, plenty",JLPT JLPT_2 JLPT_3,Cs6%u[Qn0$,"ความอุดมสมบูรณ์ ความเหลือเฟือ, มากมาย, ล้นเหลือ, สมบูรณ์",知識が豊富です。,ฉันมีความรู้มากมาย
方法,ほうほう,"method, means, technique",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,isN8<2KrA#,"วิธีการ, เครื่องมือ, เทคนิค, หนทาง",いい方法を知っていますか。,คุณรู้วิธีที่ดีไหม
方々,ほうぼう,"here and there, everywhere",JLPT JLPT_2 JLPT_3,wl^OUsh)0d,"ที่นี่และที่นั่น ทุกที่, ทุกหนทุกแห่ง, ทั่วทุกที่, ทุกที่ทุกทาง",方々から人が集まった。,ผู้คนจากทั่วสารทิศมารวมตัวกัน
訪問,ほうもん,"call, visit",JLPT JLPT_2 JLPT_3,hsC[X6BGUF,"โทรติดต่อ, เยี่ยมชม, ไปหา, แวะเยี่ยม",友達を訪問しました。,ฉันไปเยี่ยมเพื่อน
吠える,ほえる,"to bark, to howl",JLPT JLPT_2 JLPT_3,r$WR%olfa6,"เห่า, หอน, คราง, ส่งเสียงเห่า",犬が吠えています。,สุนัขกำลังเห่า
ボーイ,ボーイ,porter; boy,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.6,Im8]7VT7{#,"พนักงานยกกระเป๋า; เด็กชาย, บ๋อย, คนรับใช้, เด็กหนุ่ม",ボーイが荷物を持ってきてくれた。,พนักงานยกกระเป๋าช่วยขนกระเป๋าให้ฉัน
ボート,ボート,rowing boat,JLPT JLPT_2 JLPT_3,xMp/lL<RR-,"เรือพาย, เรือ, เรือบด, เรือกรรเชียง",ボートに乗ります。,ฉันจะขึ้นเรือ
ホーム,ホーム,platform; home,JLPT JLPT_2 JLPT_3,EyGV_xL&38,"แพลตฟอร์ม; บ้าน, ชานชาลา, บ้านเรือน, ที่พัก",ホームで電車を待っています。,ฉันกำลังรอรถไฟที่ชานชาลา
ボール,ボール,ball; bowl,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,CO}gO)BA1a,"ลูกบอล; ชาม, บอล, ถ้วย, ภาชนะ",ボールで遊びました。,ฉันเล่นบอล
他,ほか,other (esp. places and things),JLPT JLPT_2 JLPT_3,vw>|`^Bt^u,"อื่นๆ (โดยเฉพาะสถานที่และสิ่งของ), อื่น, อย่างอื่น, สิ่งอื่น",これは何ですか。他のは何ですか。,นี่คืออะไร อันอื่นคืออะไร
誇り,ほこり,pride,JLPT JLPT_2 JLPT_3,yj*)/<J;Jj,"ความภาคภูมิใจ, เกียรติ, ศักดิ์ศรี, ความภูมิใจ",国を誇りに思います。,ฉันภูมิใจในประเทศของฉัน
埃,ほこり,dust,JLPT JLPT_2 JLPT_3,AO.~g!:dGf,"ฝุ่น, ผง, ละออง, เขม่า",部屋に埃がたまっている。,ฝุ่นสะสมในห้อง
保証,ほしょう,"guarantee, assurance, warranty",JLPT JLPT_2 JLPT_3,oroU@#(;}/,"การรับประกัน, การยืนยัน, การค้ำประกัน",この製品は保証付きです。,ผลิตภัณฑ์นี้มีการรับประกัน
保存,ほぞん,"preservation, conservation",JLPT JLPT_2 JLPT_3,hSWOh8}x1v,"การอนุรักษ์, การรักษา, การดำรงรักษา, การเก็บรักษา",食べ物を保存します。,ฉันจะเก็บรักษาอาหาร
歩道,ほどう,walkway,JLPT JLPT_2 JLPT_3,oWq+gh5t1f,"ทางเดิน, ฟุตบาท, บาทวิถี, ทางเท้า",歩道で歩きましょう。,เรามาเดินบนทางเท้ากันเถอะ
仏,ほとけ,Buddha,JLPT JLPT_2 JLPT_3,r;K:#?B1W_,"พระพุทธเจ้า, พุทธ, พระศาสดา, องค์สมเด็จพระสัมมาสัมพุทธเจ้า",仏像は美しい。,พระพุทธรูปงดงาม
骨,ほね,bone,JLPT JLPT_2 JLPT_3,F)(n<tky^7,"กระดูก, โครงกระดูก, กระดูกสันหลัง, กระดูกอ่อน",骨が痛い。,กระดูกของฉันเจ็บ
炎,ほのお,flame,JLPT JLPT_2 JLPT_3,td^&#ApIPe,"เปลวไฟ, ไฟ, เปลว, ประกายไฟ",火の炎が大きくなった。,เปลวไฟลุกโชนขึ้น
頬,ほほ,cheek (of face),JLPT JLPT_2 JLPT_3,MW?sJAMVg:,"แก้ม (ของใบหน้า), พวงแก้ม, โหนกแก้ม, ข้างแก้ม",彼女は赤い頬をしている。,เธอมีแก้มสีแดง
頬,ほお,cheek (of face),JLPT JLPT_2 JLPT_3,eOL%=W-J#7,"แก้ม (ของใบหน้า), กระพุ้งแก้ม, สองแก้ม, แก้มข้าง",子供は頬にキスをした。,เด็กน้อยจูบที่แก้ม
ほぼ,ほぼ,"almost, roughly",JLPT JLPT_2 JLPT_3,d^=kc;gm+o,"เกือบจะโดยประมาณ, เกือบ, โดยประมาณ, ราวๆ",それはほぼ本当です。,มันเกือบจะจริง
微笑む,ほほえむ,to smile,JLPT JLPT_2 JLPT_3,wVB=qNZz4J,"ยิ้ม, แย้ม, ยิ้มแย้ม, อมยิ้ม",彼女は微笑んだ。,เธอแย้มยิ้ม
堀,ほり,"moat, canal",JLPT JLPT_2 JLPT_3,FxbDaPc9#x,"คูเมือง คลอง, คูน้ำ, ร่องน้ำ, ลำคลอง",城の周りに堀がある。,มีคูเมืองรอบปราสาท
濠,ほり,moat,JLPT JLPT_2 JLPT_3,tU(_Pmvb9R,"คูเมือง, คู, คูน้ำล้อมรอบ, คูป้องกัน",濠の周りは森です。,รอบคูเมืองเป็นป่า
本当,ほんと,"truth, reality",JLPT JLPT_2 JLPT_3,b&f5kLt[Ac,"ความจริง ความเป็นจริง, ข้อเท็จจริง, ความจริงแท้, สภาพจริง",それは本当の話ですか。,นั่นเป็นเรื่องจริงหรือเปล่า
本人,ほんにん,the person himself,JLPT JLPT_2 JLPT_3,I0[E+qY%jw,"บุคคลนั้นเอง, ตัวเอง, เจ้าตัว, คนนั้นเอง",それは彼本人です。,นั่นคือตัวเขาเอง
本物,ほんもの,genuine article,JLPT JLPT_2 JLPT_3,yGED#ay|.7,"ของแท้, แท้จริง, ของจริง, ต้นฉบับ",これは本物のダイヤモンドです。,นี่คือเพชรของแท้
ぼんやり,ぼんやり,"dim, faint, vague",JLPT JLPT_2 JLPT_3,Bu_{)ZzPr#,"จางๆ จางๆ ไม่ชัดเจน, คลุมเครือ, เลือนลาง, พร่ามัว",彼はぼんやり歩いていた。,เขาเดินอย่างเลื่อนลอย
間,ま,"space, room, pause",JLPT JLPT_2 JLPT_3,_MKZD^wW5,"พื้นที่, ห้อง, หยุดพัก, ช่องว่าง",部屋の間で話した。,เราคุยกันระหว่างห้อง
まあ,まあ,well (used when making a modest or hesitant statement),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,gK]=+G-`a3,"ดี (ใช้เมื่อกล่าวถ่อมตัวหรือลังเล), เอาละ, ก็ได้, อืม",まあ、そうですね。,อืม ก็ใช่ครับ
マーケット,マーケット,market,JLPT JLPT_2 JLPT_3,"z,Yj6>]ZS]","ตลาด, ตลาดนัด, ตลาดสด, สถานที่ค้าขาย",マーケットで買い物をします。,ฉันไปซื้อของที่ตลาด
マイク,マイク,mic,JLPT JLPT_2 JLPT_3,r0v`jqD@%T,"ไมค์, ไมโครโฟน, อุปกรณ์รับเสียง, เครื่องเสียง",マイクを使いましょう。,มาใช้ไมค์กันเถอะ
迷子,まいご,lost (stray) child,JLPT JLPT_2 JLPT_3,FT#CRKr^or,"เด็กหลง (เด็กจรจัด), เด็กหาย, เด็กพลัดหลง, เด็กที่หลงทาง",子供が迷子になった。,เด็กหลงทางไป
マイナス,マイナス,minus,JLPT JLPT_2 JLPT_3,d7Qaj7)8Wq,"ลบ, หักออก, ค่าลบ, เครื่องหมายลบ",温度はマイナス３度です。,อุณหภูมิติดีลบ 3 องศา
任せる,まかせる,"to entrust to another, to leave to",JLPT JLPT_2 JLPT_3,L[Sv^|TveX,"มอบหมายให้ผู้อื่นดูแล, ปล่อยให้, ไว้ใจให้, มอบหมาย",この仕事は私に任せてください。,มอบหมายงานนี้ให้ฉันทำเถอะ
巻く,まく,"to wind, to coil, to roll",JLPT JLPT_2 JLPT_3,bZ[[^glA1W,"พัน, ขด, ม้วน, ห่อ",彼はマフラーを巻いた。,เขาพันผ้าพันคอ
蒔く,まく,to sow (seeds),JLPT JLPT_2 JLPT_3,H=Zk$-##fv,"หว่าน (เมล็ด), โรย, ปลูก, เพาะ",庭に種を蒔いた。,ฉันหว่านเมล็ดพันธุ์ในสวน
撒く,まく,"to scatter, to sprinkle, to sow",JLPT JLPT_2 JLPT_3,elIwgF9#tO,"โปรยปราย โรย ​​หว่าน, พรม, สาด, กระจาย",床に水を撒いた。,ฉันสาดน้ำไปที่พื้น
幕,まく,"curtain, act (in play)",JLPT JLPT_2 JLPT_3,p/poyGf`R=,"ม่าน, ฉาก (ในละคร), ผ้าม่าน, องก์",カーテンの幕が開いた。,ม่านเปิดออก
負け,まけ,"defeat, loss",JLPT JLPT_2 JLPT_3,Gm;-Q!$V98,"ความพ่ายแพ้, การสูญเสีย, ความปราชัย, การแพ้",昨日の試合は負けました。,การแข่งขันเมื่อวานแพ้ไป
孫,まご,grandchild,JLPT JLPT_2 JLPT_3,IHHk^Ab_ve,"หลาน, หลานชาย, หลานสาว, ลูกหลาน",私の孫はかわいいです。,หลานของฉันน่ารักมาก
まさか,まさか,by no means,JLPT JLPT_2 JLPT_3,M*J/_!BP[F,"ไม่เลยแม้แต่น้อย, ไม่มีทาง, เป็นไปไม่ได้, ไม่จริงหรอก",まさか、そんなことないよ。,ไม่จริงน่า ไม่มีทาง
まさに,まさに,"correctly, surely",JLPT JLPT_2 JLPT_3,PW-SB}B+g9,"ถูกต้องแน่นอน, จริงๆ, อย่างแน่นอน, ถูกต้องแม่นยำ",それはまさに私が探していたものです。,นั่นคือสิ่งที่ฉันกำลังตามหาอยู่พอดี
混ざる,まざる,"to be mixed, to mingle with",JLPT JLPT_2 JLPT_3,r;?[!)ts`(,"ผสมปนเปกัน, คลุกคลีกับ, ปะปน, รวมกัน",色々なものが混ざっている。,มีสิ่งต่างๆ ปะปนกันอยู่
交ざる,まざる,"to be mixed, to mingle with",JLPT JLPT_2 JLPT_3,4K$w~U;He,"ผสมปนเปกัน, คลุกคลีกับ, เจือปน, เข้ากัน",彼らは友人と交ざった。,พวกเขาปะปนอยู่กับเพื่อนๆ
混じる,まじる,"to be mixed, to mingle with",JLPT JLPT_2 JLPT_3,"d#EkI,dbkR","ผสมปนเปกัน, คลุกคลีกับ, ผสมผสาน, อยู่ร่วมกัน",色々な意見が混じる。,มีความเห็นที่หลากหลายปะปนกัน
交じる,まじる,"to be mixed, to mingle with",JLPT JLPT_2 JLPT_3,Ek]^@FM&X:,"ผสมปนเปกัน, คลุกคลีกับ, ปนอยู่, คละกัน",水に油が交じる。,น้ำกับน้ำมันปะปนกัน
増す,ます,"to increase, to gain",JLPT JLPT_2 JLPT_3,igA/Wx5uJY,"เพิ่มขึ้น, ได้รับ, มากขึ้น, เติมขึ้น",喜びが増す。,ความสุขเพิ่มมากขึ้น
貧しい,まずしい,"poor, needy",JLPT JLPT_2 JLPT_3,yhxCEWNSqv,"ยากจน ขัดสน, อัตคัด, ยากไร้, ขาดแคลน",彼は貧しい家庭に生まれた。,เขาเกิดในครอบครัวที่ยากจน
マスター,マスター,"bar owner, master (e.g., arts, science)",JLPT JLPT_2 JLPT_3,wPc=w@;W9x,"เจ้าของบาร์, ผู้เชี่ยวชาญ (เช่น ศิลปศาสตร์, วิทยาศาสตร์), ปรมาจารย์",彼はバーのマスターです。,เขาเป็นเจ้าของบาร์
ますます,ますます,"increasingly (same as もっと), more and more",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9,tuWAGYc>]J,"มากขึ้นเรื่อยๆ (เหมือนกับ もっと) มากขึ้นเรื่อยๆ, ทวีขึ้น, ยิ่งขึ้น, นับวันยิ่ง",ますます元気になります。,แข็งแรงขึ้นเรื่อยๆ
混ぜる,まぜる,"to mix, to stir",JLPT JLPT_2 JLPT_3,J@;szQ>5H7,"ผสม, คน, คลุกเคล้า, กวน",ボウルに材料を混ぜてください。,กรุณาผสมส่วนผสมในชาม
交ぜる,まぜる,"to be mixed, to be blended with",JLPT JLPT_2 JLPT_3,PxviWu8b^f,"เพื่อผสม เพื่อรวมเข้าด้วยกัน, ปรุง, ประสาน, เกลี่ย",二つの色を交ぜました。,ฉันผสมสองสีเข้าด้วยกัน
街,まち,"town; street, road",JLPT JLPT_2 JLPT_3,HfD?AV.2#Q,"เมือง; ถนน, ทางหลวง, นคร, วิถี",この街はとてもきれいです。,เมืองนี้สวยงามมาก
間違い,まちがい,mistake,JLPT Genki_Ln.19 JLPT_3 JLPT_2 Genki,BDS-:};NM$,"ความผิดพลาด, ข้อผิดพลาด, การทำผิด, การพลาดพลั้ง",間違いをしました。,ฉันทำผิดพลาดไป
松,まつ,pine tree,JLPT JLPT_2 JLPT_3,q{u(t.GeD(,"ต้นสน, ไม้สน, สน, สนสามใบ",庭に松の木がある。,มีต้นสนในสวน
真っ赤,まっか,"deep red, flushed (of face)",JLPT JLPT_2 JLPT_3,NaIP;.$n/b,"หน้าแดงก่ำ, แดงฉาน, แดงก่ำ, หน้าแดง",彼の顔は真っ赤になった。,หน้าเขาแดงก่ำ
全く,まったく,"really, completely",JLPT JLPT_2 JLPT_3,N~j_lRE~H>,"จริงๆ อย่างสมบูรณ์, โดยสิ้นเชิง, แท้จริงแล้ว, อย่างแท้จริง",全く問題ありません。,ไม่มีปัญหาอะไรเลย
祭,まつり,"festival, feast",JLPT JLPT_2 JLPT_3,b~w=W0;TL7,"เทศกาล, งานเลี้ยง, งานฉลอง, มหรสพ",明日はお祭りです。,พรุ่งนี้มีงานเทศกาล
まとまる,まとまる,"to be collected, to be settled, to be in order",JLPT JLPT_2 JLPT_3,x(|HBhj.8,"ที่ต้องรวบรวม, ที่ต้องชำระ, ที่ต้องจัดระเบียบ, เข้าที่เข้าทาง",話がまとまった。,การพูดคุยได้ข้อสรุป
まとめる,まとめる,"to put in order, to collect, to bring to a conclusion",JLPT JLPT_2 JLPT_3,iFaV|KCNxw,"จัดเรียงให้เป็นระเบียบ รวบรวม นำไปสู่ข้อสรุป, สรุป, จัดการ, รวมยอด",書類をまとめました。,ฉันรวบรวมเอกสารแล้ว
学ぶ,まなぶ,to learn; to study,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,E-![dvkug},"เรียนรู้; ศึกษา, เล่าเรียน, ศึกษาเล่าเรียน, ฝึกฝน",新しいことを学びます。,ฉันจะเรียนรู้สิ่งใหม่ๆ
真似,まね,"mimicry, imitation, behavior",JLPT JLPT_2 JLPT_3,Ha/*s9C{]A,"การเลียนแบบ, การทำตาม, พฤติกรรม, การลอกเลียน",鳥の真似をしました。,ฉันเลียนเสียงนก
招く,まねく,to invite,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,rQ0-*9mHkN,"เพื่อเชิญ, เชื้อเชิญ, เรียกมา, ชักชวน",友達を招きました。,ฉันเชิญเพื่อนมา
まぶしい,まぶしい,"dazzling, radiant",JLPT JLPT_2 JLPT_3,JQkYs:8mnj,"สว่างไสวเจิดจ้า, แสงจ้า, สว่างจ้า, เปล่งปลั่ง",太陽がまぶしい。,แสงแดดจ้ามาก
柵,さく,"fence, paling",JLPT_1 JLPT JLPT_3,y#vU&Fd{*`,"รั้ว, รั้วไม้, กำแพง, กั้นรั้ว",庭に柵を作った。,ฉันทำรั้วในสวน
裂ける,さける,"to split, to tear, to burst",JLPT_1 JLPT JLPT_3,duhUDkU~WK,"แยกออก, ฉีกขาด, แตกออก, ปริ",紙が裂けた。,กระดาษฉีกขาด
裁く,さばく,to judge,JLPT_1 JLPT JLPT_3,xRke1sza<m,"เพื่อตัดสิน, พิพากษา, วินิจฉัย, ตัดสินความ",裁判官が裁く。,ผู้พิพากษาตัดสินคดี
酸化,さんか,oxidation,JLPT_1 JLPT JLPT_3,D1MP^#_z1B,"ออกซิเดชัน, การเกิดออกซิเดชัน, การรวมตัวกับออกซิเจน, การออกซิไดซ์",酸化は化学反応です。,ออกซิเดชันคือปฏิกิริยาเคมี
死,し,"death, decease",JLPT_1 JLPT JLPT_3,t06OltNZyD,"ความตาย, การจากไป, มรณะ, การสิ้นชีวิต",死は怖い。,ความตายเป็นสิ่งที่น่ากลัว
資格,しかく,"qualifications, requirements, capabilities",JLPT_1 JLPT JLPT_3,wi++wC}pSU,"คุณสมบัติ ความต้องการ ความสามารถ, คุณสมบัติเฉพาะ, ข้อกำหนด, สมรรถภาพ",この資格が必要です。,ต้องมีคุณสมบัตินี้
視覚,しかく,"sense of sight, vision",JLPT_1 JLPT JLPT_3,E=/?Opn_[&,"ประสาทสัมผัสทางการมองเห็น, การมองเห็น, สายตา, การรับรู้ทางตา",視覚は重要です。,การมองเห็นเป็นสิ่งสำคัญ
指揮,しき,"command, direction",JLPT_1 JLPT JLPT_3,I~OJZxTkqT,"คำสั่ง, ทิศทาง, การสั่งการ, การควบคุม",指揮者が現れた。,วาทยกรปรากฏตัว
磁気,じき,magnetism,JLPT_1 JLPT JLPT_3,"c,aD*!!MOk","แม่เหล็ก, อำนาจแม่เหล็ก, แรงแม่เหล็ก, คุณสมบัติทางแม่เหล็ก",磁気テープは古い。,เทปแม่เหล็กเก่าแล้ว
磁器,じき,"porcelain, china",JLPT_1 JLPT JLPT_3,Q82E>*!xNX,"เครื่องลายคราม, เครื่องเคลือบดินเผา, ถ้วยชาม, เครื่องกระเบื้อง",この茶碗は磁器です。,ถ้วยชานี้ทำจากเครื่องเคลือบดินเผา
自己,じこ,"self, oneself",JLPT_1 JLPT JLPT_3,:az?1DOih,"ตัวตน ตัวตน, ตัวตนเอง, อัตตา, จิตใจ",自己紹介をします。,ฉันจะแนะนำตัวเอง
字体,じたい,"font, lettering",JLPT_1 JLPT JLPT_3,jz(I1Q*KVQ,"แบบอักษร, การเขียนตัวอักษร, รูปแบบอักษร, ตัวอักษร",この字体が好きです。,ฉันชอบแบบอักษรนี้
辞退,じたい,refusal,JLPT_1 JLPT JLPT_3,s^yuvY0jMN,"การปฏิเสธ, การไม่ยอมรับ, การบอกปัด, การถอนตัว",招待を辞退しました。,ฉันปฏิเสธคำเชิญ
視点,してん,"opinion, point of view, visual point",JLPT_1 JLPT JLPT_3,"fg,X`JJ|Co","ความคิดเห็น, มุมมอง, จุดสนใจทางภาพ, แง่มุม",彼の視点は面白い。,มุมมองของเขาน่าสนใจ
脂肪,しぼう,"fat, grease",JLPT_1 JLPT JLPT_3,z48jHbiC_$,"ไขมัน, น้ำมัน, เนื้อไขมัน, มัน",脂肪は体に良くない。,ไขมันไม่ดีต่อร่างกาย
志望,しぼう,"wish, desire, ambition",JLPT_1 JLPT JLPT_3,r-E-GUEXsY,"ความปรารถนา ความอยากได้ ความทะเยอทะยาน, ความมุ่งมั่น, แรงปรารถนา, ปณิธาน",医者になるのが志望です。,ความปรารถนาของฉันคือการเป็นหมอ
衆,しゅう,"masses, people",JLPT_1 JLPT JLPT_3,rXpmbk8=bE,"มวลชน, ผู้คน, สาธารณชน, ประชาชน",多くの衆が集まった。,มวลชนจำนวนมากมารวมตัวกัน
住,じゅう,"dwelling, living",JLPT_1 JLPT JLPT_3,Gr~DDJR6l},"ที่อยู่อาศัย, การอยู่อาศัย, ถิ่นที่อยู่, การพักอาศัย",ここに住んでいます。,ฉันอาศัยอยู่ที่นี่
修飾,しゅうしょく,ornamentation; modification (gram),JLPT_1 JLPT JLPT_3,O}Nr9R^}M5,"การตกแต่ง; การดัดแปลง (กรัม), การประดับ, การเพิ่มเติม, การขยายความ",言葉の修飾。,การขยายความของคำ
私用,しよう,"personal use, private business",JLPT_1 JLPT JLPT_3,BnE{ivc`n=,"การใช้งานส่วนตัว ธุรกิจส่วนตัว, ใช้ส่วนตัว, กิจส่วนตัว, เรื่องส่วนตัว",私用で電話しました。,ฉันโทรมาธุระส่วนตัว
仕様,しよう,"way, method, specification",JLPT_1 JLPT JLPT_3,oE!*S&aFqD,"วิธีการ, ระเบียบวิธี, ข้อกำหนด, รายละเอียด",製品の仕様。,ข้อกำหนดของผลิตภัณฑ์
情,じょう,"feelings, emotion, passion",JLPT_1 JLPT JLPT_3,bl3-{=5!X[,"ความรู้สึก อารมณ์ ความปรารถนา, อารมณ์ความรู้สึก, จิตใจ, ความรู้สึกนึกคิด",彼の情が深い。,เขามีจิตใจที่ลึกซึ้ง
生涯,しょうがい,one's lifetime,JLPT_1 JLPT JLPT_3,Pie[%Re:m6,"ช่วงชีวิตหนึ่ง, ตลอดชีวิต, ชั่วชีวิต, อายุขัย",生涯学習。,การเรียนรู้ตลอดชีวิต
上司,じょうし,one's superior,JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.9,u|7SjLmC*W,"ผู้เหนือกว่า, หัวหน้า, เจ้านาย, ผู้บังคับบัญชา",上司に報告します。,ฉันจะรายงานหัวหน้า
正体,しょうたい,"natural shape, one's true colors, true character",JLPT_1 JLPT JLPT_3,PK*KgnJaC,"รูปทรงตามธรรมชาติ สีสันที่แท้จริง และอุปนิสัยที่แท้จริง, ตัวตนที่แท้จริง, เนื้อแท้, ธาตุแท้",本当の正体を見た。,ฉันเห็นตัวตนที่แท้จริง
照明,しょうめい,illumination,JLPT_1 JLPT JLPT_3,D&z&8>sgOU,"แสงสว่าง, ไฟส่องสว่าง, การส่องแสง, ความสว่าง",部屋の照明をつけた。,ฉันเปิดไฟในห้อง
女史,じょし,Ms.,JLPT_1 JLPT JLPT_3,"b7C,wG{C22","นางสาว, คุณหญิง, สตรี, คุณผู้หญิง",田中女史。,นางสาวทานากะ
